ID,base,past,participle,translation
94b70782-264c-456d-88bf-d50972fc0d09,be,was (were),been,быть
880aab39-c59b-4cf6-9f7c-63aa220df9cc,become,became,become,становиться
631ff039-640d-4738-8a7c-2100432c69a9,begin,began,begun,начинать
43bfd48b-10d8-432d-9725-2bc2f69b068f,break,broke,broken,ломать
c477ebfc-f173-4995-8681-661d3161a173,bring,brought,brought,приносить
dec2fc9b-f8d7-41fd-8a2e-78e57439ddf3,build,built,built,строить
2fdd63b9-58ef-4e96-b434-d4c6d3b9c894,buy,bought,bought,покупать
4923da51-de6e-4e41-b089-11f4e95c3da6,can,could,,мочь
8b3442bf-de80-4495-b73c-f6c92c7c967a,catch,caught,caught,ловить
db039f1c-d94e-4e16-a27d-28beb4ef9be0,choose,chose,chosen,выбирать
9f04080e-f266-4ff2-a165-29b59e9990b6,come,came,come,приходить
b387db89-2035-4201-909d-e1d1314ae242,cost,cost,cost,стоить
6246f2bc-835f-4f0f-99e5-0a1f7057e3ab,cut,cut,cut,вырезать
b0ff2f8c-0fa9-49bc-90ab-626d22171813,do,did,done,делать
b30ebd77-285a-439a-8bca-e5bb4744d9b0,drink,drank,drunk,пить
27e9d413-c89c-42f3-9844-3d552464a7df,drive,drove,driven,ехать
6a77a979-b5e3-4aee-a53b-15d8b708202c,eat,ate,eaten,кушать
95de52c8-c921-4125-8851-236f2bbdbb1e,fall,fell,fallen,падать
99a5303d-e4e9-4e66-af3d-749f3a872be1,feel,felt,felt,чувствовать
cf7992bc-9f9f-42a6-879a-125141476443,find,found,found,находить
5f37428a-772a-480d-bc09-6e78e4d6687e,fly,flew,flown,летать
2b1b1123-69fc-4d50-9b46-da2b0e06d408,forget,forgot,forgotten,забыть
4241f673-a1e4-4e1a-8f3f-8ec22a763c62,get,got,got,получить
5ce17c84-9fcc-46d4-9373-003de9765481,give,gave,given,давать
d16ff6e5-25b1-44d0-8517-9eb497773423,go,went,gone,идти
c0a26ffe-7e57-4cae-aa8c-6944861b4561,grow,grew,grown,расти
0ad8ae0b-57d0-49e7-82cd-7c7cbb673dc5,have,had,had,иметь
5ca9d413-cfde-40e7-980d-b5bcef915eb8,hear,heard,heard,слушать
b1b605f7-8768-46bb-90a3-1f5a5b9cb467,hit,hit,hit,бить
d9fc9e33-bd0c-49a8-ad76-104cf861baf5,keep,kept,kept,держать
261285ce-18d8-45e3-aeaf-1dbe7d7cda9a,know,knew,known,знать
5df5f2f7-0db5-4e72-9a63-71990880ad58,learn,learnt,learnt,учить
00ba6f6d-4968-4c9c-bf3f-7c62033010d5,leave,left,left,уходить
dba744ab-060a-491b-a7a5-a37d3662d09f,lend,lent,lent,одалживать
88288296-081b-4689-b8a8-790280b0245f,let,let,let,позволять
a32cc16f-e626-4596-8e90-0b76b51d1ed2,lose,lost,lost,потерять
e34af445-0e3b-45b4-a511-9dc20bfac0b3,make,made,made,сделать
1b6687e4-4349-4aae-9e9e-02b658ce54fb,meet,met,met,встречать
332ad4d0-cfe3-4082-a1d7-ef6a10f40786,pay,paid,paid,платить
234b0321-34bb-409e-83a8-fd2abd30720e,put,put,put,помещать
39a87c71-a072-4993-9b96-89f6e2fdf413,read,read,read,читать
85e90320-7daa-4cf7-9dc8-a801d3c31637,ring,rang,rung,звонить
c9d36e8e-4503-448a-9f71-eeb769ecc587,run,ran,run,бежать
f74e7a23-494d-4fa3-affc-2db694605ec2,say,said,said,сказать
aa624027-4b1d-49cb-9920-f672287fafed,see,saw,seen,видеть
7a4bd52a-080e-4655-9dd1-c58721702d15,sell,sold,sold,продавать
1aaae5c0-0ff1-444e-adbc-b70bcd94c02b,send,sent,sent,отправить
1aec35fb-dea6-42c9-823e-69d1ee3336a1,shut,shut,shut,закрыть
6c48582d-55c6-45d3-adbd-095b416ce2b5,sing,sang,sung,петь
2a666e36-7ceb-43de-a308-8e3ad1f5fa83,sit,sat,sat,сидеть
e22012db-8fcc-4676-9415-284790cd8bab,sleep,slept,slept,спать
831bacef-9c2a-4e42-98c8-793c03739e4d,speak,spoke,spoken,говорить
763f289a-93ef-47a4-8779-5ecdfbc2bc72,spend,spent,spent,тратить
1ee1be2e-2d91-41d2-b15d-e613a5ac8f3c,stand,stood,stood,стоять
e058026d-165d-44f7-b180-13fd5c5cca86,steal,stole,stolen,воровать
04624617-da07-4eab-a990-615d5ba36272,swim,swam,swum,плыть
17b15952-fe5c-4882-b548-503ab41cb834,take,took,taken,взять
6b6809e9-8211-4bd0-8d58-fb75d17b85a4,teach,taught,taught,учить
3ba7f762-4ecf-43d8-9113-8b04fdfe54e7,tell,told,told,рассказывать
72ef9669-4a6b-44a9-8fee-9d1eeb63d830,think,thought,thought,думать
00292b39-4073-4bd9-8f89-549dfa902605,throw,threw,thrown,бросать
c9ccf619-3aaf-4d54-a2aa-8afc325c2314,understand,understood,understood,понимать
d41de808-2d9b-4fdd-8a29-fb1c9a01b10f,wake,woke,woken,проснуться
e3973577-cd14-4448-b9d4-254a7cbc1b69,wear,wore,worn,носить
b6194e95-1ba2-4adf-bc42-c66d194eaa26,win,won,won,победить
531285e5-764d-4974-86ee-53d53d96a8de,write,wrote,written,писать
